time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-20T05:19:39.320Z,18.9138336,-155.3478394,7.28,2.82,ml,37,251,0.2572,0.37,hv,hv70086201,2018-04-20T05:32:19.040Z,"35km SSE of Pahala, Hawaii",earthquake,1.59,1.24,3.77,20,automatic,hv,hv
2018-04-20T05:14:00.856Z,63.2054,-151.1073,0.1,1.4,ml,,,,0.77,ak,ak19245396,2018-04-20T05:20:44.589Z,"110km NNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-04-20T05:12:34.150Z,36.1066666,-120.1731644,10,2.97,md,58,72,0.06872,0.11,nc,nc73001686,2018-04-20T08:28:02.794Z,"12km NNW of Avenal, CA",earthquake,0.38,0.44,0.11,50,automatic,nc,nc
2018-04-20T04:42:35.440Z,35.0156667,-119.0296667,17.22,1.81,ml,21,94,0.1193,0.23,ci,ci37918399,2018-04-20T04:46:17.864Z,"12km NW of Grapevine, CA",earthquake,0.49,1.27,0.144,28,automatic,ci,ci
2018-04-20T04:22:22.830Z,17.9718,-67.0438,12,1.62,md,3,200,0.0024,0.03,pr,pr2018110000,2018-04-20T07:27:52.957Z,"0km SE of La Parguera, Puerto Rico",earthquake,0.86,0.6,0.15,3,reviewed,pr,pr
2018-04-20T04:16:05.670Z,18.3809,96.1551,29.98,4.8,mb,,57,1.948,0.91,us,us1000dp14,2018-04-20T04:27:22.040Z,"31km WSW of Pyu, Burma",earthquake,6.4,3.8,0.096,33,reviewed,us,us
2018-04-20T03:15:13.510Z,37.604,-118.8693333,5.83,0.64,md,8,250,0.0158,0.03,nc,nc73001671,2018-04-20T03:29:46.901Z,"10km ESE of Mammoth Lakes, CA",earthquake,0.98,1.03,0.119,7,reviewed,nc,nc
2018-04-20T02:58:08.970Z,38.8246651,-122.8509979,1.97,0.81,md,10,92,0.005416,0.02,nc,nc73001661,2018-04-20T03:19:02.069Z,"10km WNW of The Geysers, CA",earthquake,0.36,0.65,0.24,2,automatic,nc,nc
2018-04-20T02:54:48.570Z,38.0143,-98.0005,5,2.5,mb_lg,,94,0.692,0.4,us,us1000dp02,2018-04-20T05:08:35.013Z,"5km WSW of South Hutchinson, Kansas",earthquake,1.2,2,0.084,37,reviewed,us,us
2018-04-20T02:51:53.368Z,59.5651,-152.5123,61.8,2,ml,,,,0.56,ak,ak19245248,2018-04-20T03:05:00.880Z,"45km WSW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
